Distance,Action,Reward
20.04601,Patrol,-0.1
20.04601,Follow,-0.02
20.04601,ShootLaser,-0.05
20.04601,Patrol,-0.1
20.04601,Follow,-0.02
20.04601,ShootLaser,-0.05
19.76155,Patrol,-0.1
19.76155,Follow,-0.02
19.76155,ShootLaser,-0.05
19.6601,Patrol,-0.1
19.6601,Follow,-0.02
19.6601,ShootLaser,-0.05
19.59041,Patrol,-0.1
19.59041,Follow,-0.02
19.59041,ShootLaser,-0.05
19.53346,Patrol,-0.1
19.53346,Follow,-0.02
19.53346,ShootLaser,-0.05
19.47251,Patrol,-0.1
19.47251,Follow,-0.02
19.47251,ShootLaser,-0.05
19.41305,Patrol,-0.1
19.41305,Follow,-0.02
19.41305,ShootLaser,-0.05
19.35958,Patrol,-0.1
19.35958,Follow,-0.02
19.35958,ShootLaser,-0.05
19.29157,Patrol,-0.1
19.29157,Follow,-0.02
19.29157,ShootLaser,-0.05
19.22804,Patrol,-0.1
19.22804,Follow,-0.02
19.22804,ShootLaser,-0.05
19.17621,Patrol,-0.1
19.17621,Follow,-0.02
19.17621,ShootLaser,-0.05
19.11966,Patrol,-0.1
19.11966,Follow,-0.02
19.11966,ShootLaser,-0.05
19.06166,Patrol,-0.1
19.06166,Follow,-0.02
19.06166,ShootLaser,-0.05
18.95786,Patrol,-0.1
18.95786,Follow,-0.02
18.95786,ShootLaser,-0.05
18.90177,Patrol,-0.1
18.90177,Follow,-0.02
18.90177,ShootLaser,-0.05
18.83853,Patrol,-0.1
18.83853,Follow,-0.02
18.83853,ShootLaser,-0.05
18.77942,Patrol,-0.1
18.77942,Follow,-0.02
18.77942,ShootLaser,-0.05
18.71853,Patrol,-0.1
18.71853,Follow,-0.02
18.71853,ShootLaser,-0.05
18.65942,Patrol,-0.1
18.65942,Follow,-0.02
18.65942,ShootLaser,-0.05
18.59841,Patrol,-0.1
18.59841,Follow,-0.02
18.59841,ShootLaser,-0.05
18.53801,Patrol,-0.1
18.53801,Follow,-0.02
18.53801,ShootLaser,-0.05
18.4791,Patrol,-0.1
18.4791,Follow,-0.02
18.4791,ShootLaser,-0.05
18.42256,Patrol,-0.1
18.42256,Follow,-0.02
18.42256,ShootLaser,-0.05
18.37095,Patrol,-0.1
18.37095,Follow,-0.02
18.37095,ShootLaser,-0.05
18.26029,Patrol,-0.1
18.26029,Follow,-0.02
18.26029,ShootLaser,-0.05
18.2088,Patrol,-0.1
18.2088,Follow,-0.02
18.2088,ShootLaser,-0.05
18.15752,Patrol,-0.1
18.15752,Follow,-0.02
18.15752,ShootLaser,-0.05
18.10883,Patrol,-0.1
18.10883,Follow,-0.02
18.10883,ShootLaser,-0.05
18.01984,Patrol,-0.1
18.01984,Follow,-0.02
18.01984,ShootLaser,-0.05
17.93343,Patrol,-0.1
17.93343,Follow,-0.02
17.93343,ShootLaser,-0.05
17.88131,Patrol,-0.1
17.88131,Follow,-0.02
17.88131,ShootLaser,-0.05
17.82295,Patrol,-0.1
17.82295,Follow,-0.02
17.82295,ShootLaser,-0.05
17.7665,Patrol,-0.1
17.7665,Follow,-0.02
17.7665,ShootLaser,-0.05
17.71233,Patrol,-0.1
17.71233,Follow,-0.02
17.71233,ShootLaser,-0.05
17.65895,Patrol,-0.1
17.65895,Follow,-0.02
17.65895,ShootLaser,-0.05
17.53933,Patrol,-0.1
17.53933,Follow,-0.02
17.53933,ShootLaser,-0.05
17.47644,Patrol,-0.1
17.47644,Follow,-0.02
17.47644,ShootLaser,-0.05
17.42785,Patrol,-0.1
17.42785,Follow,-0.02
17.42785,ShootLaser,-0.05
17.36939,Patrol,-0.1
17.36939,Follow,-0.02
17.36939,ShootLaser,-0.05
17.31589,Patrol,-0.1
17.31589,Follow,-0.02
17.31589,ShootLaser,-0.05
17.26017,Patrol,-0.1
17.26017,Follow,-0.02
17.26017,ShootLaser,-0.05
17.20492,Patrol,-0.1
17.20492,Follow,-0.02
17.20492,ShootLaser,-0.05
17.14623,Patrol,-0.1
17.14623,Follow,-0.02
17.14623,ShootLaser,-0.05
17.06507,Patrol,-0.1
17.06507,Follow,-0.02
17.06507,ShootLaser,-0.05
16.97696,Patrol,-0.1
16.97696,Follow,-0.02
16.97696,ShootLaser,-0.05
16.89267,Patrol,-0.1
16.89267,Follow,-0.02
16.89267,ShootLaser,-0.05
16.80877,Patrol,-0.1
16.80877,Follow,-0.02
16.80877,ShootLaser,-0.05
16.65373,Patrol,-0.1
16.65373,Follow,-0.02
16.65373,ShootLaser,-0.05
16.57686,Patrol,-0.1
16.57686,Follow,-0.02
16.57686,ShootLaser,-0.05
16.48806,Patrol,-0.1
16.48806,Follow,-0.02
16.48806,ShootLaser,-0.05
16.3991,Patrol,-0.1
16.3991,Follow,-0.02
16.3991,ShootLaser,-0.05
16.34137,Patrol,-0.1
16.34137,Follow,-0.02
16.34137,ShootLaser,-0.05
16.27671,Patrol,-0.1
16.27671,Follow,-0.02
16.27671,ShootLaser,-0.05
16.22001,Patrol,-0.1
16.22001,Follow,-0.02
16.22001,ShootLaser,-0.05
16.17132,Patrol,-0.1
16.17132,Follow,-0.02
16.17132,ShootLaser,-0.05
16.11739,Patrol,-0.1
16.11739,Follow,-0.02
16.11739,ShootLaser,-0.05
15.955,Patrol,-0.1
15.955,Follow,-0.02
15.955,ShootLaser,-0.05
15.79263,Patrol,-0.1
15.79263,Follow,-0.02
15.79263,ShootLaser,-0.05
15.62487,Patrol,-0.1
15.62487,Follow,-0.02
15.62487,ShootLaser,-0.05
15.45757,Patrol,-0.1
15.45757,Follow,-0.02
15.45757,ShootLaser,-0.05
15.14878,Patrol,-0.1
15.14878,Follow,-0.02
15.14878,ShootLaser,-0.05
14.96664,Patrol,-0.1
14.96664,Follow,-0.02
14.96664,ShootLaser,-0.05
14.81615,Patrol,-0.1
14.81615,Follow,-0.02
14.81615,ShootLaser,-0.05
14.66231,Patrol,-0.1
14.66231,Follow,-0.02
14.66231,ShootLaser,-0.05
14.50905,Patrol,-0.1
14.50905,Follow,-0.02
14.50905,ShootLaser,-0.05
14.3736,Patrol,-0.1
14.3736,Follow,-0.02
14.3736,ShootLaser,-0.05
14.23558,Patrol,-0.1
14.23558,Follow,-0.02
14.23558,ShootLaser,-0.05
14.09978,Patrol,-0.1
14.09978,Follow,-0.02
14.09978,ShootLaser,-0.05
13.96018,Patrol,-0.1
13.96018,Follow,-0.02
13.96018,ShootLaser,-0.05
13.81512,Patrol,-0.1
13.81512,Follow,-0.02
13.81512,ShootLaser,-0.05
13.6625,Patrol,-0.1
13.6625,Follow,-0.02
13.6625,ShootLaser,-0.05
13.50142,Patrol,-0.1
13.50142,Follow,-0.02
13.50142,ShootLaser,-0.05
13.35832,Patrol,-0.1
13.35832,Follow,-0.02
13.35832,ShootLaser,-0.05
13.21875,Patrol,-0.1
13.21875,Follow,-0.02
13.21875,ShootLaser,-0.05
12.95375,Patrol,-0.1
12.95375,Follow,-0.02
12.95375,ShootLaser,-0.05
12.81742,Patrol,-0.1
12.81742,Follow,-0.02
12.81742,ShootLaser,-0.05
12.64519,Patrol,-0.1
12.64519,Follow,-0.02
12.64519,ShootLaser,-0.05
12.49387,Patrol,-0.1
12.49387,Follow,-0.02
12.49387,ShootLaser,-0.05
12.35597,Patrol,-0.1
12.35597,Follow,-0.02
12.35597,ShootLaser,-0.05
12.19541,Patrol,-0.1
12.19541,Follow,-0.02
12.19541,ShootLaser,-0.05
12.04088,Patrol,-0.1
12.04088,Follow,-0.02
12.04088,ShootLaser,-0.05
11.90793,Patrol,-0.1
11.90793,Follow,-0.02
11.90793,ShootLaser,-0.05
11.74551,Patrol,-0.1
11.74551,Follow,-0.02
11.74551,ShootLaser,-0.05
11.55939,Patrol,-0.1
11.55939,Follow,-0.02
11.55939,ShootLaser,-0.05
11.44863,Patrol,-0.1
11.44863,Follow,-0.02
11.44863,ShootLaser,-0.05
11.39531,Patrol,-0.1
11.39531,Follow,-0.02
11.39531,ShootLaser,-0.05
11.32955,Patrol,-0.1
11.32955,Follow,-0.02
11.32955,ShootLaser,-0.05
11.24161,Patrol,-0.1
11.24161,Follow,-0.02
11.24161,ShootLaser,-0.05
11.1917,Patrol,-0.1
11.1917,Follow,-0.02
11.1917,ShootLaser,-0.05
11.14003,Patrol,-0.1
11.14003,Follow,-0.02
11.14003,ShootLaser,-0.05
11.13189,Patrol,-0.1
11.13189,Follow,-0.02
11.13189,ShootLaser,-0.05
11.18167,Patrol,-0.1
11.18167,Follow,-0.02
11.18167,ShootLaser,-0.05
11.23678,Patrol,-0.1
11.23678,Follow,-0.02
11.23678,ShootLaser,-0.05
11.29003,Patrol,-0.1
11.29003,Follow,-0.02
11.29003,ShootLaser,-0.05
11.33713,Patrol,-0.1
11.33713,Follow,-0.02
11.33713,ShootLaser,-0.05
11.39241,Patrol,-0.1
11.39241,Follow,-0.02
11.39241,ShootLaser,-0.05
11.44567,Patrol,-0.1
11.44567,Follow,-0.02
11.44567,ShootLaser,-0.05
11.50268,Patrol,-0.1
11.50268,Follow,-0.02
11.50268,ShootLaser,-0.05
11.56331,Patrol,-0.1
11.56331,Follow,-0.02
11.56331,ShootLaser,-0.05
11.62057,Patrol,-0.1
11.62057,Follow,-0.02
11.62057,ShootLaser,-0.05
11.67522,Patrol,0.1
11.67522,Follow,-0.02
11.67522,ShootLaser,-0.05
11.76992,Patrol,0
11.76992,Follow,-0.02
11.76992,ShootLaser,-0.05
11.95414,Patrol,0
11.95414,Follow,-0.02
11.95414,ShootLaser,-0.05
12.04202,Patrol,0
12.04202,Follow,-0.02
12.04202,ShootLaser,-0.05
12.13396,Patrol,0
12.13396,Follow,-0.02
12.13396,ShootLaser,-0.05
12.23184,Patrol,0
12.23184,Follow,-0.02
12.23184,ShootLaser,-0.05
12.32522,Patrol,0
12.32522,Follow,-0.02
12.32522,ShootLaser,-0.05
12.41934,Patrol,0
12.41934,Follow,-0.02
12.41934,ShootLaser,-0.05
12.51743,Patrol,0
12.51743,Follow,-0.02
12.51743,ShootLaser,-0.05
12.62568,Patrol,0
12.62568,Follow,-0.02
12.62568,ShootLaser,-0.05
12.73462,Patrol,0
12.73462,Follow,-0.02
12.73462,ShootLaser,-0.05
12.82728,Patrol,0
12.82728,Follow,-0.02
12.82728,ShootLaser,-0.05
12.92296,Patrol,0
12.92296,Follow,-0.02
12.92296,ShootLaser,-0.05
13.022,Patrol,0
13.022,Follow,-0.02
13.022,ShootLaser,-0.05
13.11766,Patrol,0
13.11766,Follow,-0.02
13.11766,ShootLaser,-0.05
13.20712,Patrol,0
13.20712,Follow,-0.02
13.20712,ShootLaser,-0.05
13.29569,Patrol,0
13.29569,Follow,-0.02
13.29569,ShootLaser,-0.05
13.48507,Patrol,0
13.48507,Follow,-0.02
13.48507,ShootLaser,-0.05
13.57913,Patrol,0
13.57913,Follow,-0.02
13.57913,ShootLaser,-0.05
13.68107,Patrol,0
13.68107,Follow,-0.02
13.68107,ShootLaser,-0.05
13.77523,Patrol,0
13.77523,Follow,-0.02
13.77523,ShootLaser,-0.05
13.88291,Patrol,0
13.88291,Follow,-0.02
13.88291,ShootLaser,-0.05
13.9807,Patrol,0
13.9807,Follow,-0.02
13.9807,ShootLaser,-0.05
14.07548,Patrol,0
14.07548,Follow,-0.02
14.07548,ShootLaser,-0.05
14.17382,Patrol,0
14.17382,Follow,-0.02
14.17382,ShootLaser,-0.05
14.26901,Patrol,0
14.26901,Follow,-0.02
14.26901,ShootLaser,-0.05
14.36021,Patrol,0
14.36021,Follow,-0.02
14.36021,ShootLaser,-0.05
14.46399,Patrol,0
14.46399,Follow,-0.02
14.46399,ShootLaser,-0.05
14.5667,Patrol,0
14.5667,Follow,-0.02
14.5667,ShootLaser,-0.05
14.67345,Patrol,0
14.67345,Follow,-0.02
14.67345,ShootLaser,-0.05
14.76175,Patrol,0
14.76175,Follow,-0.02
14.76175,ShootLaser,-0.05
14.85953,Patrol,0
14.85953,Follow,-0.02
14.85953,ShootLaser,-0.05
15.04785,Patrol,0
15.04785,Follow,-0.02
15.04785,ShootLaser,-0.05
15.16466,Patrol,0
15.16466,Follow,-0.02
15.16466,ShootLaser,-0.05
15.27231,Patrol,0
15.27231,Follow,-0.02
15.27231,ShootLaser,-0.05
15.37159,Patrol,0
15.37159,Follow,-0.02
15.37159,ShootLaser,-0.05
15.47637,Patrol,0
15.47637,Follow,-0.02
15.47637,ShootLaser,-0.05
15.57498,Patrol,0
15.57498,Follow,-0.02
15.57498,ShootLaser,-0.05
15.66778,Patrol,0
15.66778,Follow,-0.02
15.66778,ShootLaser,-0.05
15.76846,Patrol,0
15.76846,Follow,-0.02
15.76846,ShootLaser,-0.05
15.86497,Patrol,0
15.86497,Follow,-0.02
15.86497,ShootLaser,-0.05
15.9588,Patrol,0
15.9588,Follow,-0.02
15.9588,ShootLaser,-0.05
16.06068,Patrol,0
16.06068,Follow,-0.02
16.06068,ShootLaser,-0.05
16.11251,Patrol,0
16.11251,Follow,-0.02
16.11251,ShootLaser,-0.05
16.1403,Patrol,0
16.1403,Follow,-0.02
16.1403,ShootLaser,-0.05
16.14687,Patrol,0
16.14687,Follow,-0.02
16.14687,ShootLaser,-0.05
16.14686,Patrol,0
16.14686,Follow,-0.02
16.14686,ShootLaser,-0.05
16.14685,Patrol,0
16.14685,Follow,-0.02
16.14685,ShootLaser,-0.05
16.14685,Patrol,0
16.14685,Follow,-0.02
16.14685,ShootLaser,-0.05
16.14685,Patrol,0
16.14685,Follow,-0.02
16.14685,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,0
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,-0.1
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.14684,Patrol,-0.1
16.14684,Follow,-0.02
16.14684,ShootLaser,-0.05
16.20241,Patrol,-0.1
16.20241,Follow,-0.02
16.20241,ShootLaser,-0.05
16.28403,Patrol,-0.1
16.28403,Follow,-0.02
16.28403,ShootLaser,-0.05
16.3255,Patrol,-0.1
16.3255,Follow,-0.02
16.3255,ShootLaser,-0.05
16.37201,Patrol,-0.1
16.37201,Follow,-0.02
16.37201,ShootLaser,-0.05
16.41358,Patrol,-0.1
16.41358,Follow,-0.02
16.41358,ShootLaser,-0.05
16.45552,Patrol,-0.1
16.45552,Follow,-0.02
16.45552,ShootLaser,-0.05
16.50044,Patrol,-0.1
16.50044,Follow,-0.02
16.50044,ShootLaser,-0.05
16.54483,Patrol,-0.1
16.54483,Follow,-0.02
16.54483,ShootLaser,-0.05
16.58415,Patrol,-0.1
16.58415,Follow,-0.02
16.58415,ShootLaser,-0.05
16.62675,Patrol,-0.1
16.62675,Follow,-0.02
16.62675,ShootLaser,-0.05
16.67192,Patrol,-0.1
16.67192,Follow,-0.02
16.67192,ShootLaser,-0.05
16.71552,Patrol,-0.1
16.71552,Follow,-0.02
16.71552,ShootLaser,-0.05
16.75943,Patrol,-0.1
16.75943,Follow,-0.02
16.75943,ShootLaser,-0.05
16.80315,Patrol,-0.1
16.80315,Follow,-0.02
16.80315,ShootLaser,-0.05
